year,country,region,district,program_category,budget_amount,currency,grb_marker,gender_target,income_target,disability_target,source_file
2020,Rwanda,Eastern,Bugesera,Education,1591557.7426954105,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Education,545471.8981792686,RWF,True,Both,Low,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Health,1341299.6299461052,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Health,819498.44161662,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,GBV_response,4280574.192784255,RWF,False,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Economic_support,2484318.5953565137,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Governance_participation,2031547.2726930007,RWF,True,Both,All,All,sample_budget_2020.xlsx
2020,Rwanda,Eastern,Bugesera,Governance_participation,743212.2122553712,RWF,True,Women,Low,All,sample_budget_2020.xlsx
2021,Rwanda,Eastern,Bugesera,Education,1732099.75744476,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Education,391700.212567453,RWF,True,Women,Low,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Health,1740312.3127801118,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Health,370574.60748367227,RWF,True,Women,Middle,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,GBV_response,2233753.444420631,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Economic_support,1715507.9310351042,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Economic_support,572774.7882678063,RWF,True,Women,Middle,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Governance_participation,1195987.7574982005,RWF,False,Both,All,All,sample_budget_2021.xlsx
2021,Rwanda,Eastern,Bugesera,Governance_participation,667928.1987535679,RWF,True,Both,Middle,All,sample_budget_2021.xlsx
2022,Rwanda,Eastern,Bugesera,Education,3032492.3097318835,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,Education,885209.7054199998,RWF,True,Women,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,Health,2374228.058181412,RWF,True,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,Health,552383.7612826467,RWF,True,Both,Middle,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,GBV_response,2074632.683486834,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,Economic_support,2126675.803644411,RWF,False,Both,All,All,sample_budget_2022.xlsx
2022,Rwanda,Eastern,Bugesera,Governance_participation,2740152.7193313288,RWF,True,Both,All,All,sample_budget_2022.xlsx
2023,Rwanda,Eastern,Bugesera,Education,3498019.8742598915,RWF,False,Both,All,All,sample_budget_2023.xlsx
