year,country,region,district,income_level,disability_status,gender,indicator,value,unit,source,data_quality_flag
2020,Rwanda,Eastern,Bugesera,Low,No disability,Women,School_enrollment,32.4830328477432,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Women,Health_services_access,30.366582586792244,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Women,GBV_services_access,27.79452520123401,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Women,Employment_rate,28.5448544343532,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Women,Decision_making_participation,32.408935259727244,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Men,School_enrollment,34.54551615583358,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Men,Health_services_access,33.62134835952473,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Men,GBV_services_access,33.92128222560693,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Men,Employment_rate,36.36179106687289,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,Low,No disability,Men,Decision_making_participation,36.54762062113547,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Women,School_enrollment,10.169408888504414,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Women,Health_services_access,10.997350197017175,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Women,GBV_services_access,8.670507939792907,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Women,Employment_rate,11.227755097903557,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Women,Decision_making_participation,15.587349536193983,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Men,School_enrollment,,%,Labour_Force_Survey,missing_value
2020,Rwanda,Eastern,Bugesera,Low,With disability,Men,Health_services_access,10.801866745112148,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Men,GBV_services_access,11.373327197107772,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Men,Employment_rate,15.94981262234507,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,Low,With disability,Men,Decision_making_participation,16.48818372214122,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Women,School_enrollment,43.587417596356595,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Health_services_access,45.32776167675663,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Women,GBV_services_access,46.642216905772045,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Employment_rate,43.912013613890124,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Decision_making_participation,45.7322324233285,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Men,School_enrollment,52.64796089616599,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Men,Health_services_access,50.78520259646803,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Men,GBV_services_access,48.491381054730326,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Men,Employment_rate,50.039091738635555,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,No disability,Men,Decision_making_participation,48.650453923709335,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Women,School_enrollment,25.696697891791516,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Women,Health_services_access,25.566889371612977,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Women,GBV_services_access,25.009413703545686,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Women,Employment_rate,,%,Community_GBV_Monitoring,missing_value
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Women,Decision_making_participation,28.849009237412442,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Men,School_enrollment,31.719156071810353,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Men,Health_services_access,27.227599592062212,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Men,GBV_services_access,29.41485579097259,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Men,Employment_rate,,%,Administrative_Health_Reports,missing_value
2020,Rwanda,Eastern,Bugesera,Middle,With disability,Men,Decision_making_participation,39.11163458895491,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Women,School_enrollment,45.869053992953056,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Women,Health_services_access,50.23780736040716,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Women,GBV_services_access,53.29843010322073,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Women,Employment_rate,48.8456405955473,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Women,Decision_making_participation,56.75675380528173,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Men,School_enrollment,53.925606911492245,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Men,Health_services_access,62.209140658622715,%,Civic_Participation_Records,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Men,GBV_services_access,59.216898859720416,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Men,Employment_rate,56.786060012196224,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,No disability,Men,Decision_making_participation,53.823951918116684,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Women,School_enrollment,34.9550306846424,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Women,Health_services_access,32.75016581503467,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Women,GBV_services_access,32.20660107021991,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Women,Employment_rate,,%,Administrative_Health_Reports,missing_value
2020,Rwanda,Eastern,Bugesera,High,With disability,Women,Decision_making_participation,37.272184679877135,%,Administrative_Health_Reports,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Men,School_enrollment,33.01827751002052,%,Labour_Force_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Men,Health_services_access,,%,Civic_Participation_Records,missing_value
2020,Rwanda,Eastern,Bugesera,High,With disability,Men,GBV_services_access,36.30459636841353,%,Household_Survey,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Men,Employment_rate,32.66046146255168,%,Community_GBV_Monitoring,ok
2020,Rwanda,Eastern,Bugesera,High,With disability,Men,Decision_making_participation,34.59051079780736,%,Labour_Force_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Women,School_enrollment,30.78260231002635,%,Household_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Women,Health_services_access,29.32691756328237,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Women,GBV_services_access,33.36974900908806,%,Labour_Force_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Women,Employment_rate,26.432112115424417,%,Household_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Women,Decision_making_participation,31.812401473903925,%,Household_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Men,School_enrollment,32.97368240861293,%,Labour_Force_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Men,Health_services_access,32.63002325010126,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Men,GBV_services_access,31.471424684840485,%,Civic_Participation_Records,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Men,Employment_rate,28.450754755361068,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,No disability,Men,Decision_making_participation,32.91463883959101,%,Labour_Force_Survey,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Women,School_enrollment,8.701305687746501,%,Civic_Participation_Records,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Women,Health_services_access,,%,Community_GBV_Monitoring,missing_value
2021,Rwanda,Eastern,Bugesera,Low,With disability,Women,GBV_services_access,7.557289745284252,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Women,Employment_rate,,%,Administrative_Health_Reports,missing_value
2021,Rwanda,Eastern,Bugesera,Low,With disability,Women,Decision_making_participation,,%,Labour_Force_Survey,missing_value
2021,Rwanda,Eastern,Bugesera,Low,With disability,Men,School_enrollment,,%,Household_Survey,missing_value
2021,Rwanda,Eastern,Bugesera,Low,With disability,Men,Health_services_access,14.244409561021348,%,Civic_Participation_Records,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Men,GBV_services_access,11.198451623603168,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Men,Employment_rate,14.85679890884177,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Low,With disability,Men,Decision_making_participation,,%,Administrative_Health_Reports,missing_value
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Women,School_enrollment,43.20413835171532,%,Labour_Force_Survey,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Health_services_access,42.13354704547573,%,Civic_Participation_Records,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Women,GBV_services_access,44.738625264349686,%,Community_GBV_Monitoring,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Employment_rate,44.235049104690304,%,Community_GBV_Monitoring,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Women,Decision_making_participation,47.38626327440472,%,Community_GBV_Monitoring,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Men,School_enrollment,51.52489789747839,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Men,Health_services_access,46.69181238785082,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Men,GBV_services_access,53.24318687829274,%,Administrative_Health_Reports,ok
2021,Rwanda,Eastern,Bugesera,Middle,No disability,Men,Employment_rate,48.4513705672874,%,Community_GBV_Monitoring,ok
